Id,Category,Label
1,almyres-pites-tartes,chwriatikh-kotopita
2,almyres-pites-tartes,tyropita-me-koyrkoyti
3,almyres-pites-tartes,almyro-soyfle-sthn-koypa
4,almyres-pites-tartes,almyro-cheesecake-me-manitaria
5,almyres-pites-tartes,empanadas-me-kima-kotopoylo-kai-tsoritho
6,almyres-pites-tartes,spanakopita-me-aleyri-olikhs-aleshs
7,almyres-pites-tartes,kremmydopita
8,almyres-pites-tartes,piroski-gemista-me-patates-kai-manitaria
9,almyres-pites-tartes,ntomatopita
10,almyres-pites-tartes,tyropita-chwris-fyllo
11,almyres-pites-tartes,anoichtes-pites-me-pshth-agkinara
12,almyres-pites-tartes,fish-pie
13,almyres-pites-tartes,cornish-pies-kreatopitakia
14,almyres-pites-tartes,soyfle-me-4-tyria
15,almyres-pites-tartes,almyrh-italikh-toyrta
16,almyres-pites-tartes,muffins-me-feta-kai-pasta-elias
17,almyres-pites-tartes,almyra-tartakia-me-feta
18,almyres-pites-tartes,atomikes-pites-zymarikwn
19,almyres-pites-tartes,chaniwtikh-kreatopita
20,almyres-pites-tartes,mesogeiakh-tarta
21,almyres-pites-tartes,saitia-me-spanaki
22,almyres-pites-tartes,kotopita-se-rolo
23,almyres-pites-tartes,sfakianh-pita
24,almyres-pites-tartes,ellhniko-kaltsone
25,almyres-pites-tartes,tarta-me-sparaggia-kai-manitaria
26,almyres-pites-tartes,soyfle-spanaki
27,almyres-pites-tartes,almyrh-tarta-me-katsikisio-tyri-kai-praso
28,almyres-pites-tartes,tarta-lachanikwn
29,almyres-pites-tartes,spanakopita-koyroy
30,almyres-pites-tartes,marathopitakia
31,almyres-pites-tartes,almyro-cheesecake-me-chutney
32,almyres-pites-tartes,prasotyropita
33,almyres-pites-tartes,strifth-kaseropita
34,almyres-pites-tartes,anoichta-tyropitakia-me-piperies
35,almyres-pites-tartes,striftes-tyropites-koyroy
36,almyres-pites-tartes,cottage-pie
37,almyres-pites-tartes,aetopita
38,almyres-pites-tartes,eykolh-almyrh-mpoygatsa-me-fyllo-kroystas
39,almyres-pites-tartes,klasikh-kis-loren
40,almyres-pites-tartes,tyropitakia-me-chwriatiko-fyllo-olikhs-aleshs
41,almyres-pites-tartes,saltenas-me-kotopoylo
42,almyres-pites-tartes,agglikh-kotopita
43,almyres-pites-tartes,prasopita-chwris-fyllo
44,almyres-pites-tartes,h-tyropita-ths-mamas-toy-akh
45,almyres-pites-tartes,pita-me-ayga-kai-spanaki
46,almyres-pites-tartes,loykanikopitakia-me-sfoliata
47,almyres-pites-tartes,tarta-ntomatas
48,almyres-pites-tartes,anoichth-pita-me-mwv-patates-peroy
49,almyres-pites-tartes,h-grhgorh-zamponotyropita
50,almyres-pites-tartes,kotopitakia-me-saltsa-caesar
51,almyres-pites-tartes,kis-loren
52,almyres-pites-tartes,kimadopita-me-feta
53,almyres-pites-tartes,atomikes-kis-loren
54,almyres-pites-tartes,makaronopita-me-melitzana
55,almyres-pites-tartes,kimadopitakia
56,almyres-pites-tartes,feteer-almyrh-mpoygatsa
57,almyres-pites-tartes,nhstisimo-wellington-me-manitaria
58,almyres-pites-tartes,maridopita-me-spitiko-fyllo
59,almyres-pites-tartes,almyro-cheesecake-me-glyko-ntomatas
60,almyres-pites-tartes,kolokythopitakia
61,almyres-pites-tartes,zamponotyropita-soyfle
62,almyres-pites-tartes,almyra-muffins-me-mprokolo
63,almyres-pites-tartes,tyropita-skopeloy
64,almyres-pites-tartes,anoichth-pita-me-kreas
65,almyres-pites-tartes,tarta-me-pantzaria-kai-feta
66,almyres-pites-tartes,eykoles-krepes-aithiopias-injeras
67,almyres-pites-tartes,pita-cheeseburger
68,almyres-pites-tartes,zamponotyropita-me-mpesamel
69,almyres-pites-tartes,mesogeiakh-galette-olikhs-aleshs-me-elies
70,almyres-pites-tartes,tyropita-me-sfoliata
71,almyres-pites-tartes,pita-ellhnikh-shmaia
72,almyres-pites-tartes,thganopswmo-me-feta
73,almyres-pites-tartes,patsavoyropita
74,almyres-pites-tartes,tyropitakia-koyroy-me-elies
75,almyres-pites-tartes,tyropita-chwris-gloytenh
76,almyres-pites-tartes,manitaropitakia
77,almyres-pites-tartes,almyro-cheesecake-pantzari
78,almyres-pites-tartes,pitakia-me-garides
79,almyres-pites-tartes,stroyntel-provhgkias
80,almyres-pites-tartes,tyropitaria-me-aygo
81,almyres-pites-tartes,atomika-pithiviers-me-kotopoylo
82,almyres-pites-tartes,tyropita-sfoliata
83,almyres-pites-tartes,pithivier-me-koyneli-kai-thymari
84,almyres-pites-tartes,zamponokaseropita-me-kantaifi
85,almyres-pites-tartes,afrath-tyropita
86,almyres-pites-tartes,flogeres-me-kapnisth-galopoyla
87,almyres-pites-tartes,mplatsaria
88,almyres-pites-tartes,chwriatikh-kotopita
89,almyres-pites-tartes,spanakopita-me-spitikh-zymh-koyroy
90,almyres-pites-tartes,almyra-pitakia
91,almyres-pites-tartes,tarta-me-katsikisio-tyri-kai-spanaki
92,almyres-pites-tartes,grhgorh-zamponotyropita
93,almyres-pites-tartes,manitaropitakia-me-fyllo-kroystas
94,almyres-pites-tartes,anoichth-kapnisth-manitaropita
95,almyres-pites-tartes,pastoyrmadopita
96,almyres-pites-tartes,kimadopita
97,almyres-pites-tartes,eykolh-tyropita-c9339cae-be5b-49d7-b450-897689942af5
98,almyres-pites-tartes,giortino-keik-me-manitaria
99,almyres-pites-tartes,pita-me-sparaggia-kai-kotopoulo
100,almyres-pites-tartes,nhstisimh-chortopita-me-spitiko-fyllo
101,almyres-pites-tartes,poyrakia-me-prosoyto
102,almyres-pites-tartes,pita-me-katsikisio-tyri-kai-praso
103,almyres-pites-tartes,almyra-muffin-me-loykaniko
104,almyres-pites-tartes,fritata-me-feta-kai-myrwdika
105,almyres-pites-tartes,aleyrotyropita
106,almyres-pites-tartes,mpoygatsa-me-tyri-me-fyllo-kroystas
107,almyres-pites-tartes,kotopita
108,almyres-pites-tartes,agglikh-pita-me-kotopoylo-kai-lachanika
109,almyres-pites-tartes,chwriatikh-strifth-tyropita
110,almyres-pites-tartes,eykolo-soyfle
111,almyres-pites-tartes,anapodh-kremmydopita-me-loykanika
112,almyres-pites-tartes,manitaropita
113,almyres-pites-tartes,koyloyropita
114,almyres-pites-tartes,pita-me-spanaki-pligoyri-kai-manitaria
115,almyres-pites-tartes,tarta-me-tyri-krema-kai-ntomatinia
116,almyres-pites-tartes,tarta-me-katsikisio-tyri
117,almyres-pites-tartes,koyloyra-gemisth-me-kotopoylo
118,almyres-pites-tartes,prasopita
119,almyres-pites-tartes,mpastoynia-sfoliatas-me-piperia-flwrinhs-kai-feta
120,almyres-pites-tartes,kis-loren-me-spanaki
121,almyres-pites-tartes,trachanopita
122,almyres-pites-tartes,tarta-me-mprokolo
123,almyres-pites-tartes,pita-toy-voskoy
124,almyres-pites-tartes,napoleon-me-mpiskota-apo-raspberries-kai-krema-tyrioy
125,almyres-pites-tartes,tyropita-koyroy
126,almyres-pites-tartes,almyrh-kolokythopita-chwris-fyllo
127,almyres-pites-tartes,kamamper-me-chutney-mhlo-kai-kranmperis
128,almyres-pites-tartes,sfoliata-me-feta-kai-melitzana
129,almyres-pites-tartes,grhgorh-tyropita-ths-tempelas
130,almyres-pites-tartes,pita-me-patata-kai-krema
131,almyres-pites-tartes,grhgorh-spanakopita
132,almyres-pites-tartes,ogkraten-me-patates-kai-lachanika
133,almyres-pites-tartes,anoichth-spanakopita
134,almyres-pites-tartes,ellhnikh-kis-loren
135,almyres-pites-tartes,kotopitakia-me-mpesamel
136,almyres-pites-tartes,agglikh-pita-me-choirino-kai-lachanika
137,almyres-pites-tartes,tyropita
138,almyres-pites-tartes,melitzanopita-me-feta-kai-valsamiko
139,almyres-pites-tartes,spanakopitakia
140,almyres-pites-tartes,anoichth-pita-me-kima-galopoylas
141,almyres-pites-tartes,prasopitakia
142,almyres-pites-tartes,chortopita-me-feta-kai-giaoyrti
143,almyres-pites-tartes,tyropita-kantaifi
144,almyres-pites-tartes,plastos-me-chorta
145,almyres-pites-tartes,spanakopita
146,almyres-pites-tartes,aygopita-me-kalampoki
147,almyres-pites-tartes,rolakia-me-gemish-portokali-kai-tyri-krema
148,almyres-pites-tartes,pita-toy-voskoy-me-kima-galopoylas
149,almyres-pites-tartes,tarta-me-kolokythakia
150,almyres-pites-tartes,galette-me-seskoyla-kai-manitaria
151,almyres-pites-tartes,pita-me-treis-gemiseis
152,almyres-pites-tartes,pithivier-me-kotopoylo-kai-thymari
153,almyres-pites-tartes,chortopita-me-spitiko-fyllo
154,almyres-pites-tartes,loykanikopitakia-me-mhla-2
155,almyres-pites-tartes,mpoygatsa-me-tyri
156,almyres-pites-tartes,tarta-me-tyria-kai-chutney-ntomatas
157,almyres-pites-tartes,melitzanopita-me-karydia
158,almyres-pites-tartes,tartoyles-me-rokfor-praso-kai-karydia
159,almyres-pites-tartes,anoichth-kimadopita-me-glyko-ntomatas
160,almyres-pites-tartes,paradosiakh-tylichth-tyropita
161,almyres-pites-tartes,mpoyrekia-me-kima
162,almyres-pites-tartes,pita-me-lachanika
